nip;regon;nazwa_firmy;adres_biura;data_raportu;id_oferty;adres_inwestycji;numer_lokalu;numer_oferty;metraz;pokoje;status;cena;cena_za_m2;data_ceny;pomieszczenia_przynaleznie;rabaty_i_promocje;inne_swiadczenia
8261116680;540649478;B.Z­BUD Beata Żochowska;woj. MAZOWIECKIE, pow. wołomiński, gm. Zielonka, miejsc. Zielonka, ul. Ignacego Paderewskiego, nr 61, 05-220;2025-09-02;2;ul. Skorupki, Ząbki;;;51.33;4;dostępne;699000.0;13617.767387492695;2025-09-01;;;
8261116680;540649478;B.Z­BUD Beata Żochowska;woj. MAZOWIECKIE, pow. wołomiński, gm. Zielonka, miejsc. Zielonka, ul. Ignacego Paderewskiego, nr 61, 05-220;2025-09-02;3;ul. Skorupki, Ząbki;;;47.49;2;dostępne;649000.0;13666.03495472731;2025-09-01;;;
8261116680;540649478;B.Z­BUD Beata Żochowska;woj. MAZOWIECKIE, pow. wołomiński, gm. Zielonka, miejsc. Zielonka, ul. Ignacego Paderewskiego, nr 61, 05-220;2025-09-02;4;ul. Skorupki, Ząbki;;;80.29;4;dostępne;899000.0;11196.911196911196;2025-09-01;;;
8261116680;540649478;B.Z­BUD Beata Żochowska;woj. MAZOWIECKIE, pow. wołomiński, gm. Zielonka, miejsc. Zielonka, ul. Ignacego Paderewskiego, nr 61, 05-220;2025-09-02;1;ul. Skorupki, Ząbki;;;31.27;2;dostępne;459000.0;14678.605692356892;2025-09-01;;;
